"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","GP","MIN","FTM","2PM","A/TO","PF"
"JT Thor","CHA","PF","3.8","2.2","0.5","0.3","0.3",".399",".702","0.6","0.6","69","14.0","0.5","0.8","0.82","1.0"
"Markieff Morris","DAL","PF,C DTD","3.8","2.0","0.9","0.1","0.3",".409","1.000","0.8","0.5","35","10.1","0.3","0.5","1.72","1.4"
"Nathan Knight","MIN","PF,C","3.7","1.5","0.3","0.2","0.3",".568",".684","0.2","0.6","38","7.7","1.0","1.0","0.62","1.1"
"P.J. Tucker","PHI","PF,C,SF","3.5","3.9","0.8","0.2","0.5",".427",".826","0.7","0.6","75","25.6","0.3","0.5","1.36","2.4"
"Jericho Sims","NYK","C,PF OUT","3.4","4.7","0.5","0.5","0.3",".776",".750","0.0","0.5","52","15.6","0.2","1.6","0.93","1.8"
"Taj Gibson","WAS","PF,C DTD","3.4","1.9","0.7","0.2","0.3",".520",".714","0.2","0.5","49","9.8","0.6","1.2","1.31","1.7"
"Kai Jones","CHA","C,PF","3.4","2.7","0.3","0.7","0.4",".558",".731","0.1","0.7","46","11.9","0.4","1.4","0.48","1.4"
"Anthony Gill","WAS","SF,PF DTD","3.3","1.7","0.6","0.2","0.1",".538",".731","0.1","0.3","59","10.6","0.8","1.1","2.27","1.2"
"Christian Koloko","TOR","PF","3.1","2.9","0.5","1.0","0.4",".480",".627","0.0","0.3","58","13.8","0.6","1.2","1.55","2.2"
"Richaun Holmes","SAC","PF,C","3.1","1.9","0.2","0.3","0.1",".618",".790","0.1","0.3","42","8.3","0.4","1.2","0.64","1.2"
"Josh Minott","MIN","PF","3.1","1.7","0.3","0.4","0.3",".500","1.000","0.1","0.2","15","6.4","0.5","1.1","1.67","0.7"
"Usman Garuba","HOU","PF","3.0","4.1","0.9","0.4","0.6",".486",".617","0.3","0.6","75","12.9","0.4","0.8","1.36","1.8"
"Juan Toscano-Anderson","UTH","SF,PF","3.0","2.4","1.3","0.2","0.3",".448",".792","0.2","0.7","52","13.5","0.4","1.1","1.91","1.5"
"Jake LaRavia","MEM","PF G-League","3.0","1.8","0.6","0.1","0.3",".390",".778","0.7","0.5","35","11.8","0.2","0.4","1.17","1.4"
"Juancho Hernangomez","FA","PF,C,SF FA","2.9","2.9","0.6","0.1","0.4",".421",".563","0.4","0.4","42","14.6","0.2","0.7","1.67","1.0"
"James Johnson","IND","PF,C,SF","2.8","1.7","0.8","0.3","0.4",".449",".500","0.2","0.4","18","9.0","0.2","1.1","1.88","1.8"
"Moussa Diabate","LAC","PF G-League","2.7","2.3","0.2","0.4","0.3",".511",".625","0.0","0.4","22","8.9","0.5","1.0","0.44","0.7"
"Mamadi Diakite","CLE","SF,C,PF G-League","2.6","1.4","0.4","0.4","0.2",".480","1.000","0.3","0.5","22","8.0","0.1","0.8","0.67","1.2"
"Frank Kaminsky III","HOU","C,PF","2.4","1.4","0.9","0.1","0.2",".492",".875","0.4","0.2","37","6.3","0.4","0.5","3.56","0.6"
"Khem Birch","SAS","PF,C","2.2","1.3","0.4","0.3","0.3",".594",".800","0.1","0.4","20","8.1","0.2","0.9","0.88","1.2"
"Nerlens Noel","FA","PF,C FA","2.1","2.7","0.6","0.6","0.9",".361",".667","0.1","0.8","17","11.5","0.5","0.7","0.77","1.9"
"Andre Iguodala","GSW","SG,SF,PF OUT","2.1","2.1","2.4","0.4","0.5",".467",".667","0.1","1.1","8","14.1","0.3","0.8","2.11","1.4"
"Chris Silva","FA","PF,C FA","2.0","0.0","0.0","0.0","0.0","1.000",".000","0.0","1.0","1","3.0","0.0","1.0","0.00","2.0"
"Greg Brown III","FA","PF FA","1.8","1.2","0.2","0.3","0.3",".393",".417","0.1","0.4","16","5.8","0.3","0.6","0.50","0.8"
"Alize Johnson","FA","SF,PF FA","1.8","2.5","0.3","0.0","0.3",".500",".500","0.0","1.0","4","7.4","0.3","0.8","0.25","0.8"
"Alex Len","SAC","PF,C","1.7","2.3","0.5","0.4","0.2",".533",".688","0.0","0.6","26","6.2","0.4","0.6","0.75","1.1"
"Isaiah Todd","WAS","PF G-League","1.5","2.0","0.7","0.0","0.2",".167","1.000","0.2","0.3","6","10.2","0.3","0.3","2.00","0.7"
"Mfiondu Kabengele","BOS","C,PF G-League","1.5","2.5","0.0","0.0","0.5",".286","1.000","0.0","0.3","4","9.1","0.5","0.5","0.00","0.8"
"Thanasis Antetokounmpo","MIL","SF,PF","1.4","1.2","0.4","0.1","0.1",".435",".500","0.0","0.3","37","5.6","0.3","0.5","1.25","0.6"
"Noah Vonleh","FA","PF,C FA","1.1","2.1","0.3","0.3","0.1",".458","1.000","0.0","0.5","23","7.4","0.1","0.4","0.64","1.5"
"Justin Jackson","FA","SF,PF FA","0.9","0.7","0.4","0.2","0.2",".259",".500","0.2","0.1","23","4.7","0.0","0.1","4.50","0.3"
"Marko Simonovic","CHI","C,PF","0.9","0.3","0.0","0.0","0.0",".286",".500","0.1","0.0","7","2.8","0.1","0.1","0.00","0.7"
"Kostas Antetokounmpo","FA","PF,C FA","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0.0","0","0.0","0.0","0.0","0.00","0.0"
"Chet Holmgren","OKC","PF OUT","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0.0","0","0.0","0.0","0.0","0.00","0.0"
"Danilo Gallinari","BOS","SF,PF OUT","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0.0","0","0.0","0.0","0.0","0.00","0.0"
"Tristan Thompson","LAL","PF,C","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0.0","0","0.0","0.0","0.0","0.00","0.0"
"Willie Cauley-Stein","HOU","PF,C","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0.0","0","0.0","0.0","0.0","0.00","0.0"
"E.J. Liddell","NOR","PF OUT","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0.0","0","0.0","0.0","0.0","0.00","0.0"
"Derrick Favors","FA","C,PF FA","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0.0","0","0.0","0.0","0.0","0.00","0.0"
""
""
