"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","GP","MIN","FTM","2PM","A/TO","PF"
"Shaquille Harrison","LAL","SG,SF,PG","8.8","4.4","6.0","0.4","2.2",".417",".733","0.6","1.2","5","24.0","2.2","2.4","5.00","2.4"
"Cedi Osman","CLE","SF,PF","8.7","2.3","1.5","0.2","0.5",".451",".694","1.5","0.7","77","20.1","1.0","1.6","2.21","1.6"
"Jordan Nwora","IND","SF","8.7","3.7","1.4","0.2","0.4",".436",".791","1.4","1.1","62","19.2","1.1","1.7","1.33","1.2"
"Dorian Finney-Smith","BKN","SF,PF","8.3","4.8","1.5","0.5","0.8",".391",".763","1.7","0.9","66","30.4","0.7","1.2","1.61","2.2"
"Terrence Ross","PHO","SG,SF","8.3","2.4","1.5","0.2","0.6",".430",".794","1.5","0.7","63","21.1","0.4","1.7","2.21","1.5"
"Gary Harris","ORL","SG,SF","8.3","2.0","1.2","0.3","0.9",".450",".900","2.0","0.6","48","24.7","0.6","0.9","2.11","1.9"
"Georges Niang","PHI","SF,PF DTD","8.2","2.4","1.0","0.2","0.4",".442",".867","2.0","0.7","78","19.4","0.5","0.9","1.43","1.9"
"Damion Lee","PHO","SG,SF","8.2","3.0","1.3","0.1","0.4",".443",".904","1.5","1.1","74","20.4","1.3","1.2","1.27","1.6"
"Grant Williams","BOS","SF,PF","8.1","4.6","1.7","0.4","0.5",".454",".771","1.5","1.0","79","25.9","1.2","1.3","1.60","2.4"
"Aleksej Pokusevski","OKC","SF,PF OUT","8.1","4.7","1.9","1.3","0.6",".434",".629","1.1","1.3","34","20.6","0.6","2.1","1.49","1.7"
"Kenrich Williams","OKC","SF,PF OUT","8.0","4.9","2.0","0.3","0.8",".517",".436","0.9","0.6","53","22.8","0.3","2.4","3.28","2.1"
"Jeff Green","DEN","SF,PF","7.8","2.6","1.2","0.3","0.3",".488",".744","0.5","0.8","56","19.5","1.6","2.3","1.50","1.8"
"Joe Harris","BKN","SG,SF","7.6","2.2","1.4","0.2","0.5",".457",".643","1.9","0.6","74","20.6","0.2","0.8","2.46","1.9"
"Pat Connaughton","MIL","SG,SF","7.6","4.6","1.3","0.2","0.6",".392",".659","1.8","0.5","61","23.7","0.4","0.9","2.33","1.1"
"T.J. Warren","PHO","SF,PF","7.5","2.9","1.0","0.3","0.5",".489",".800","0.5","0.5","42","16.4","0.7","2.6","2.00","1.5"
"Torrey Craig","PHO","SG,SF","7.4","5.4","1.5","0.8","0.6",".456",".711","1.3","0.9","79","24.7","0.4","1.6","1.60","2.3"
"Obi Toppin","NYK","SF,PF","7.4","2.8","1.0","0.2","0.3",".446",".809","1.3","0.6","67","15.7","0.6","1.5","1.74","1.0"
"Trendon Watford","POR","SF,PF DTD","7.4","3.8","2.1","0.2","0.5",".560",".720","0.4","1.1","62","19.1","1.2","2.5","1.83","1.9"
"Josh Okogie","PHO","SG,SF","7.3","3.5","1.5","0.5","0.8",".391",".724","0.9","0.9","72","18.8","1.9","1.3","1.67","1.6"
"Reggie Bullock","DAL","SG,SF OUT","7.2","3.6","1.4","0.2","0.7",".409",".703","1.9","0.5","78","30.3","0.3","0.5","3.00","2.1"
"Troy Brown Jr.","LAL","SG,SF","7.1","4.1","1.3","0.2","0.8",".430",".872","1.4","0.6","76","24.5","0.4","1.2","1.94","1.6"
"Edmond Sumner","BKN","PG,SG,SF DTD","7.1","1.5","1.3","0.2","0.6",".461",".917","0.6","0.9","53","13.9","1.9","1.8","1.36","1.6"
"Joe Ingles","MIL","SG,SF,PF","6.9","2.8","3.3","0.1","0.7",".436",".857","1.8","1.2","46","22.7","0.4","0.5","2.73","1.6"
"Svi Mykhailiuk","CHA","SF,SG","6.9","1.7","1.7","0.1","0.5",".445",".667","1.3","0.8","32","14.6","0.8","1.1","2.21","0.7"
"Jae Crowder","MIL","SF,PF","6.9","3.8","1.5","0.3","0.7",".479",".833","1.3","0.4","18","18.9","0.6","1.2","3.86","1.5"
"Aaron Wiggins","OKC","SG,SF","6.8","3.0","1.1","0.2","0.6",".512",".831","0.7","0.8","70","18.5","0.8","2.0","1.45","1.6"
"Will Barton","TOR","SG,SF DTD","6.8","2.4","2.0","0.2","0.5",".379",".787","1.2","0.9","56","17.7","0.7","1.3","2.33","1.0"
"Jeremiah Robinson-Earl","OKC","SF,PF","6.8","4.2","1.0","0.3","0.6",".444",".833","0.9","0.4","43","18.9","0.8","1.7","2.26","1.7"
"Justise Winslow","POR","PF,PG,SF OUT","6.8","5.0","3.4","0.4","1.0",".409",".714","0.5","1.5","29","26.8","0.7","2.3","2.28","3.1"
"Terence Davis II","SAC","SG,SF","6.7","2.2","1.0","0.2","0.7",".423",".791","1.4","0.8","64","13.1","0.5","1.0","1.26","1.6"
"Anthony Lamb","GSW","SF","6.7","3.5","1.5","0.3","0.5",".471",".767","1.2","0.9","62","19.2","0.7","1.2","1.78","2.2"
"Isaiah Livers","DET","SF,PF OUT","6.7","2.8","0.8","0.5","0.5",".417",".821","1.4","0.6","52","23.0","0.6","0.9","1.37","2.0"
"Kevin Knox II","POR","SF,PF","6.6","2.8","0.5","0.2","0.4",".458",".767","1.0","0.8","63","15.1","0.7","1.4","0.66","1.5"
"Nassir Little","POR","SF","6.6","2.6","0.9","0.4","0.4",".442",".717","1.1","0.7","54","18.1","0.6","1.4","1.39","1.2"
"Jay Scrubb","FA","SG,SF FA","6.5","3.0","0.5","0.0","1.0",".714",".500","1.0","1.5","2","15.1","0.5","1.5","0.33","1.0"
"Sam Hauser","BOS","PF,SF","6.4","2.6","0.9","0.3","0.4",".455",".706","1.8","0.4","80","16.1","0.2","0.5","2.37","1.2"
"Isaac Okoro","CLE","SG,SF","6.4","2.5","1.1","0.4","0.7",".494",".757","0.8","0.6","76","21.7","1.0","1.5","2.07","2.1"
"Duncan Robinson","MIA","SG,SF","6.4","1.6","1.1","0.0","0.3",".371",".906","1.5","0.7","42","16.5","0.7","0.6","1.64","1.8"
"Nickeil Alexander-Walker","MIN","SG,SF,PG","6.2","1.7","1.8","0.4","0.5",".444",".667","1.0","0.9","59","15.0","0.7","1.2","1.96","1.5"
"Nicolas Batum","LAC","SF,PF,SG","6.1","3.8","1.6","0.6","0.7",".420",".708","1.6","0.6","78","21.9","0.4","0.5","2.42","1.9"
"Oshae Brissett","IND","SF,PF","6.1","3.4","0.7","0.2","0.5",".386",".717","0.7","0.5","65","16.7","1.6","1.2","1.29","1.2"
"Evan Fournier","NYK","SG,SF","6.1","1.8","1.3","0.1","0.6",".337",".857","1.3","0.8","27","17.0","0.7","0.8","1.64","1.7"
"Robert Covington","LAC","PF,C,SF","6.0","3.5","1.2","0.7","0.8",".445",".750","1.1","0.7","48","16.2","0.6","1.0","1.78","1.8"
"Stanley Johnson","FA","PF,SF FA","5.8","3.2","2.2","0.2","0.5",".533",".667","0.6","1.1","30","15.6","0.9","1.6","2.03","1.6"
"Ziaire Williams","MEM","SF,SG","5.7","2.1","0.9","0.2","0.4",".429",".773","0.7","1.0","37","15.2","0.5","1.6","0.95","1.6"
"Jalen Johnson","ATL","SF DTD","5.6","4.0","1.2","0.5","0.5",".491",".628","0.4","0.6","70","14.9","0.7","1.8","2.02","1.6"
"Yuta Watanabe","BKN","SF,PF DTD","5.6","2.4","0.8","0.3","0.4",".491",".723","1.0","0.4","58","16.0","0.6","0.9","2.18","1.4"
"Wenyen Gabriel","LAL","PF,SF","5.5","4.2","0.5","0.5","0.4",".596",".619","0.1","0.7","68","15.1","0.8","2.1","0.78","2.1"
"Rodney McGruder","DET","SG,SF OUT","5.5","2.2","0.8","0.0","0.5",".408",".818","1.2","0.3","33","15.9","0.5","0.6","2.55","1.2"
"Nikola Jovic","MIA","SF","5.5","2.1","0.7","0.1","0.5",".406",".947","0.5","0.7","15","13.6","1.2","1.3","1.00","1.3"
"Danny Green","CLE","SG,SF","5.5","1.3","0.5","0.3","0.5",".449","1.000","1.5","0.9","11","12.6","0.1","0.5","0.60","1.5"
"Otto Porter Jr.","TOR","SF,PF OUT","5.5","2.4","1.0","0.0","1.4",".500","1.000","0.8","0.5","8","18.3","1.0","1.1","2.00","0.9"
"Lamar Stevens","CLE","SF,PF","5.3","3.4","0.5","0.3","0.4",".448",".702","0.5","0.4","62","18.1","0.6","1.6","1.22","1.3"
"Rudy Gay","UTH","SF,PF OUT","5.2","2.9","1.0","0.3","0.3",".380",".857","0.6","0.7","56","14.6","0.8","1.4","1.54","1.2"
"Darius Bazley","PHO","SF,PF","5.2","3.2","0.9","0.8","0.5",".454",".543","0.5","0.6","43","14.3","0.9","1.5","1.41","1.0"
"Derrick Jones Jr.","CHI","SG,SF","5.0","2.4","0.5","0.6","0.5",".500",".738","0.4","0.4","64","14.0","1.0","1.4","1.36","1.3"
"Vlatko Cancar","DEN","SF,PF DTD","5.0","2.1","1.3","0.2","0.4",".476",".927","0.7","0.6","60","14.8","0.6","1.1","2.16","1.4"
"Jonathan Isaac","ORL","SF,PF OUT","5.0","4.0","0.5","0.4","1.3",".415",".556","0.5","0.4","11","11.3","0.5","1.5","1.50","0.5"
"Cody Martin","CHA","SG,SF OUT","5.0","3.4","1.6","0.1","0.6",".389",".571","0.4","0.3","7","19.1","0.6","1.6","5.50","1.9"
"Moses Moody","GSW","SF,SG","4.8","1.7","0.8","0.1","0.3",".476",".698","0.8","0.5","63","13.0","0.6","0.9","1.50","0.9"
"Danuel House Jr.","PHI","SF,PF,SG OUT","4.8","1.7","0.8","0.2","0.3",".472",".750","0.7","0.5","56","14.4","0.8","1.0","1.69","1.2"
"Garrison Mathews","ATL","SG,SF","4.8","1.4","0.5","0.1","0.4",".363",".906","1.2","0.4","54","12.7","0.9","0.2","1.37","1.1"
"Keon Johnson","POR","SF,SG","4.7","1.1","1.5","0.2","0.5",".376",".659","0.7","1.1","40","10.4","0.7","1.0","1.37","1.1"
"Dalano Banton","TOR","SF,PG OUT","4.6","1.5","1.2","0.4","0.4",".420",".708","0.5","0.6","31","9.0","0.5","1.3","2.00","1.1"
"Justin Holiday","DAL","SG,SF","4.5","1.2","0.9","0.4","0.4",".378",".625","1.0","0.5","46","15.3","0.1","0.7","1.86","1.5"
"Thaddeus Young","TOR","PF,C,SF","4.4","3.1","1.4","0.1","1.0",".546",".692","0.1","0.8","54","14.7","0.3","1.9","1.79","1.6"
"Haywood Highsmith","MIA","SG,SF","4.4","3.5","0.8","0.3","0.7",".431",".464","0.7","0.8","54","18.0","0.2","1.0","0.96","1.5"
"Jarrett Culver","FA","PG,SG,SF FA","4.4","3.8","0.6","0.2","0.6",".395",".692","0.1","0.7","10","13.7","0.9","1.6","0.86","1.4"
"Paul Reed","PHI","SF,PF","4.2","3.8","0.4","0.7","0.7",".593",".745","0.0","0.7","69","10.9","0.6","1.8","0.60","1.8"
"Admiral Schofield","ORL","SF,PF","4.2","1.7","0.8","0.1","0.2",".451",".913","0.6","0.4","37","12.2","0.6","0.8","1.94","1.6"
"Matisse Thybulle","POR","SG,SF DTD","4.1","2.0","0.7","0.5","1.2",".435",".679","0.8","0.3","71","16.9","0.3","0.8","2.21","1.6"
"Furkan Korkmaz","PHI","SG,SF DTD","3.8","1.1","0.6","0.1","0.3",".432",".722","0.5","0.6","37","9.6","0.7","0.8","0.92","0.5"
"P.J. Tucker","PHI","PF,C,SF","3.5","3.9","0.8","0.2","0.5",".427",".826","0.7","0.6","75","25.6","0.3","0.5","1.36","2.4"
"Wesley Matthews","MIL","SG,SF OUT","3.4","2.2","0.7","0.3","0.4",".363",".857","0.8","0.3","52","15.8","0.5","0.4","1.89","1.4"
"Amir Coffey","LAC","SF,SG","3.4","1.1","1.1","0.1","0.1",".386",".778","0.2","0.4","50","12.5","1.0","0.9","2.52","1.0"
"Anthony Gill","WAS","SF,PF DTD","3.3","1.7","0.6","0.2","0.1",".538",".731","0.1","0.3","59","10.6","0.8","1.1","2.27","1.2"
"Peyton Watson","DEN","SF","3.3","1.6","0.5","0.5","0.1",".492",".550","0.3","0.3","23","8.1","0.5","1.0","1.38","0.6"
"Jordan Hall","FA","SF FA","3.1","1.3","1.2","0.0","0.1",".321",".778","0.3","0.8","9","9.2","0.8","0.7","1.57","0.7"
"Juan Toscano-Anderson","UTH","SF,PF","3.0","2.4","1.3","0.2","0.3",".448",".792","0.2","0.7","52","13.5","0.4","1.1","1.91","1.5"
"Juancho Hernangomez","FA","PF,C,SF FA","2.9","2.9","0.6","0.1","0.4",".421",".563","0.4","0.4","42","14.6","0.2","0.7","1.67","1.0"
"Kessler Edwards","SAC","SF","2.9","1.7","0.7","0.2","0.4",".387",".733","0.5","0.4","35","11.0","0.3","0.5","1.77","1.1"
"James Johnson","IND","PF,C,SF","2.8","1.7","0.8","0.3","0.4",".449",".500","0.2","0.4","18","9.0","0.2","1.1","1.88","1.8"
"Mamadi Diakite","CLE","SF,C,PF G-League","2.6","1.4","0.4","0.4","0.2",".480","1.000","0.3","0.5","22","8.0","0.1","0.8","0.67","1.2"
"Theo Pinson","DAL","SF,SG","2.4","1.6","1.2","0.0","0.2",".356",".846","0.6","0.3","40","8.1","0.3","0.2","3.83","0.9"
"Justin Champagnie","BOS","SF","2.2","1.6","0.8","0.0","0.2",".333",".000","0.2","0.0","5","6.9","0.0","0.8","0.00","0.4"
"Andre Iguodala","GSW","SG,SF,PF OUT","2.1","2.1","2.4","0.4","0.5",".467",".667","0.1","1.1","8","14.1","0.3","0.8","2.11","1.4"
"Garrett Temple","NOR","PG,SG,SF","2.0","0.7","0.5","0.1","0.4",".400",".750","0.4","0.2","25","6.5","0.1","0.3","3.25","0.6"
"Alize Johnson","FA","SF,PF FA","1.8","2.5","0.3","0.0","0.3",".500",".500","0.0","1.0","4","7.4","0.3","0.8","0.25","0.8"
"Dylan Windler","CLE","SF,SG OUT","1.7","0.0","0.3","0.0","0.3",".667",".000","0.3","0.3","3","3.5","0.0","0.3","1.00","0.0"
"Kendall Brown","IND","SF","1.5","1.0","0.5","0.0","0.7",".571",".500","0.0","0.3","6","6.7","0.2","0.7","1.50","1.5"
"Thanasis Antetokounmpo","MIL","SF,PF","1.4","1.2","0.4","0.1","0.1",".435",".500","0.0","0.3","37","5.6","0.3","0.5","1.25","0.6"
"PJ Dozier","SAC","PG,SG,SF","1.4","0.9","0.6","0.1","0.4",".303",".000","0.1","0.3","16","5.0","0.0","0.5","2.00","0.4"
"KZ Okpala","FA","SF FA","1.3","1.0","0.4","0.2","0.2",".421",".875","0.2","0.2","35","7.1","0.2","0.3","1.86","1.1"
"Joe Wieskamp","TOR","SG,SF DTD","1.0","0.4","0.3","0.0","0.0",".214",".000","0.3","0.1","9","5.5","0.0","0.0","3.00","0.3"
"Trevor Keels","NYK","SF G-League","1.0","0.7","0.0","0.0","0.0",".250",".000","0.3","0.0","3","2.7","0.0","0.0","0.00","0.0"
"Justin Jackson","FA","SF,PF FA","0.9","0.7","0.4","0.2","0.2",".259",".500","0.2","0.1","23","4.7","0.0","0.1","4.50","0.3"
"Dereon Seabron","NOR","SF","0.8","0.2","0.0","0.0","0.0",".400",".000","0.0","0.0","5","2.3","0.0","0.4","0.00","0.2"
"Leandro Bolmaro","FA","SF FA","0.4","0.5","0.5","0.1","0.2",".150",".000","0.0","0.5","14","4.9","0.0","0.2","1.00","0.7"
"Feron Hunt","FA","SF FA","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0.0","0","0.0","0.0","0.0","0.00","0.0"
"Justin Lewis","CHI","SF","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0.0","0","0.0","0.0","0.0","0.00","0.0"
"Danilo Gallinari","BOS","SF,PF OUT","0.0","0.0","0.0","0.0","0.0",".000",".000","0.0","0.0","0","0.0","0.0","0.0","0.00","0.0"
"Sterling Brown","FA","SG,SF FA","0.0","2.0","0.5","0.0","0.8",".000",".000","0.0","0.0","4","6.1","0.0","0.0","0.00","1.0"
""
""
